location,new_cases,reproduction_rate,gdp_per_capita,stringency_index,total_cases,population
Spain,11837.170962199312,1.1482722007722006,34272.36,46.312400000000004,6203411.952627046,47558632.0
Sweden,2321.013757523646,1.143827519379845,46949.283,37.39731162790698,1306288.7414548642,10549349.0
Belgium,4054.2044482463643,1.1231395348837208,42658.576,40.828595348837204,2034692.9621811786,11655923.0
Switzerland,3768.6929674099483,1.1095353339787029,57410.16599999999,35.525069767441856,1738291.3742166518,8740471.0
Germany,32770.71061643836,1.0975409836065575,45229.245,46.97628837209302,11985808.543664383,83369840.0
Australia,9735.41488451668,1.0954961089494164,44648.71,48.11901395348838,3081587.9136878815,26177410.0
Brazil,31888.300085984523,1.0905560975609756,14103.452,49.49085581395349,19177980.654398564,215313504.0
France,33036.209760273974,1.0890173410404624,38605.671,43.09853953488372,13733815.917247387,67813000.0
Peru,3842.6875,1.0810088148873653,12236.706,54.66253953488373,2283533.4588235295,34049588.0
United States,87987.95962199313,1.0809381044487427,54225.446,49.372,46671168.393229164,338289856.0
Bolivia,1021.9734816082122,1.0801588877855015,6885.829,43.119106976744185,556417.5109090909,12224114.0
Hungary,1879.190761334474,1.0798131760078664,26777.561,35.77410232558139,1046382.4896115628,9967304.0
Luxembourg,272.55479452054794,1.077737512242899,94277.965,38.41796279069767,129439.14234234234,647601.0
Japan,28541.932363013697,1.077189292543021,39002.223,41.10778604651163,6507961.121761658,123951696.0
South Korea,26251.908390410958,1.0726456542502387,35938.374,41.571432558139534,7503853.666088465,51815808.0
Netherlands,7367.065924657534,1.0697192642787996,48472.545,43.734911627906975,3682990.659478886,17564020.0
Italy,22035.660361134996,1.0682854406130269,35220.084,53.30565581395349,8963221.797025371,59037472.0
Austria,5120.791095890411,1.063920233463035,45436.686,50.03847441860465,2012892.8430493274,8939617.0
Guatemala,1060.7816780821918,1.0629689067201604,7423.807999999999,54.49924651162791,533690.2433910666,17843914.0
Estonia,526.7125748502993,1.0594921875,29481.252,32.671851162790695,265677.8626570916,1326064.0
Israel,4115.304794520548,1.0573268292682927,33132.32,44.12897674418605,2012520.01875,9449000.0
Bosnia and Herzegovina,343.81009409751925,1.0568307086614173,11713.895,39.438372093023254,225948.33333333334,3233530.0
United Kingdom,21000.340498710233,1.0565444015444014,39753.244,43.899869767441864,10765421.75877193,67508936.0
Slovenia,1142.19948630137,1.0561463414634147,31400.84,41.373962790697675,524165.56859205774,2119843.0
Ireland,1458.0855431993157,1.05501953125,67335.293,43.50838139534884,731550.6696669667,5023108.0
Denmark,2915.2602739726026,1.0538424124513617,46682.515,35.985302325581394,1313400.9165170556,5882259.0
Venezuela,472.3781009409752,1.0532015810276678,16745.022,56.27979534883721,313339.9107468124,28301700.0
Latvia,835.245508982036,1.052229862475442,25063.846,36.13030697674419,377446.74324324325,1850654.0
Canada,3963.268271711092,1.052,44017.591,51.294046511627904,1983910.72513089,38454328.0
Singapore,1920.0996563573883,1.0519364161849711,85535.383,44.18006511627907,642022.4886759582,5637022.0
Afghanistan,179.45462328767124,1.0485247524752475,1803.9870000000003,27.92973023255814,117640.42256042972,41128772.0
